Place Name,Latitude,Longitude
Aberdeen,57.149651,-2.099075
Ayr,55.458565,-4.629179
Basildon,51.572376,0.470009
Bath,51.380001,-2.36
Bedford,52.136436,-0.460739
Belfast,54.607868,-5.926437
Birmingham,52.489471,-1.898575
Bradford,53.799999,-1.75
Brighton & Hove,50.827778,-0.152778
Bristol,51.454514,-2.58791
Cambridge,52.205276,0.119167
Canterbury,51.279999,1.08
Cardiff,51.481583,-3.17909
Carlisle,54.890999,-2.944
Chelmsford,51.736099,0.4798
Chester,53.189999,-2.89
Chesterfield,53.235046,-1.421629
Chichester,50.836498,-0.7792
Chippenham,51.458057,-2.116074
Coventry,52.408054,-1.510556
Derby,52.916668,-1.466667
Derry,54.9958,-7.3074
Dundee,56.462002,-2.9707
Durham,54.7761,-1.5733
Eastbourne,50.768036,0.290472
Edinburgh,55.953251,-3.188267
Elgin,57.653484,-3.335724
Ely,52.398056,0.262222
Exeter,50.716667,-3.533333
Folkestone,51.081398,1.169456
Glasgow,55.860916,-4.251433
Gloucester,51.864445,-2.244444
Gravesend,51.441883,0.370759
Harlow,51.772938,0.10231
Hastings,50.854259,0.573453
Hereford,52.056499,-2.716
Hull,53.76775,-0.335827
Inverness,57.477772,-4.224721
Lancaster,54.047001,-2.801
Leeds,53.801277,-1.548567
Leicester,52.633331,-1.133333
Lichfield,52.683498,-1.82653
Lincoln,53.234444,-0.538611
Lisburn,54.50972,-6.0374
Liverpool,53.400002,-2.983333
London,51.509865,-0.118092
Londonderry,55.006763,-7.318268
Manchester,53.483959,-2.244644
Newcastle Upon Tyne,54.966667,-1.6
Newry,54.175999,-6.349
Northampton,52.240479,-0.902656
Nottingham,52.950001,-1.15
Oxford,51.752022,-1.257677
Perth,56.396999,-3.437
Peterborough,52.573921,-0.25083
Plymouth,50.376289,-4.143841
Portsmouth,50.805832,-1.087222
Preston,53.765762,-2.692337
Ripon,54.138,-1.524
Rugby,52.370876,-1.265032
Salford,53.483002,-2.2931
Salisbury,51.068787,-1.794472
Sheffield,53.383331,-1.466667
Solihull,52.412811,-1.778197
Southampton,50.909698,-1.404351
St. Davids,51.882,-5.269
St.Albans,51.755001,-0.336
Stoke-on-Trent,53.002666,-2.179404
Sunderland,54.906101,-1.38113
Sutton Coldfield,52.570385,-1.824042
Swansea,51.621441,-3.943646
Swindon,51.568535,-1.772232
Truro,50.259998,-5.051
Wakefield,53.68,-1.49
Wells,51.209,-2.647
Winchester,51.063202,-1.308
Wolverhampton,52.59137,-2.110748
Worcester,52.192001,-2.22
York,53.958332,-1.080278
